image,output,timestamp
"{""background"": "".gradio\\flagged\\image\\da24c38b65ff0359431a\\background.png"", ""layers"": ["".gradio\\flagged\\image\\d778ba3da7acd9b7de7b\\layer_0.png""], ""composite"": "".gradio\\flagged\\image\\9ea51165137fb334cfa4\\composite.png"", ""id"": null}","{""label"": null, ""confidences"": null}",2025-10-04 09:16:17.892684
"{""background"": "".gradio\\flagged\\image\\bfc80f4206b8ffcae49e\\background.png"", ""layers"": ["".gradio\\flagged\\image\\84f9a95b2f15a27d79ae\\layer_0.png""], ""composite"": "".gradio\\flagged\\image\\e0f4b96f241014e12c34\\composite.png"", ""id"": null}","{""label"": null, ""confidences"": null}",2025-10-04 09:19:16.072464
